Fecha;Temperatura;Humedad_rel;WH2;WH3;WH4;WH5;WH6;WH7;FH1;Consumo
12/01/2009 2:00;272,3858984;0,877012025;0;0;0;0;0;0;0;3275
12/01/2009 3:00;272,8507266;0,81738091;0;0;0;0;0;0;0;3106
12/01/2009 4:00;272,585062;0,799969067;0;0;0;0;0;0;0;3020
12/01/2009 5:00;272,3427341;0,78550794;0;0;0;0;0;0;0;2999
12/01/2009 6:00;272,1463809;0,771230742;0;0;0;0;0;0;0;3012
12/01/2009 7:00;270,5976477;0,756956588;0;0;0;0;0;0;0;3583
12/01/2009 8:00;270,6091184;0,748933793;0;0;0;0;0;0;0;4089
12/01/2009 9:00;270,6078175;0,747925744;0;0;0;0;0;0;0;4369
12/01/2009 10:00;271,3028791;0,739225294;0;0;0;0;0;0;0;4675
12/01/2009 11:00;273,0759165;0,621087756;0;0;0;0;0;0;0;4882
12/01/2009 12:00;274,8138489;0,498519836;0;0;0;0;0;0;0;4959
12/01/2009 13:00;276,0069956;0,493071914;0;0;0;0;0;0;0;4703
12/01/2009 14:00;276,8877279;0,518049177;0;0;0;0;0;0;0;4806
12/01/2009 15:00;277,2376515;0,545035096;0;0;0;0;0;0;0;4212
12/01/2009 16:00;277,2734715;0,582147978;0;0;0;0;0;0;0;4577
12/01/2009 17:00;276,8168319;0,711782541;0;0;0;0;0;0;0;4303
12/01/2009 18:00;275,5565981;0,820933697;0;0;0;0;0;0;0;4102
12/01/2009 19:00;274,4184083;0,835964433;0;0;0;0;0;0;0;4515
12/01/2009 20:00;273,8924272;0,846033628;0;0;0;0;0;0;0;4440
12/01/2009 21:00;273,5179471;0,838886333;0;0;0;0;0;0;0;4155
12/01/2009 22:00;273,2987672;0,819249717;0;0;0;0;0;0;0;4043
12/01/2009 23:00;273,0584384;0,801502198;0;0;0;0;0;0;0;3654
13/01/2009 0:00;272,7655994;0,792498942;1;0;0;0;0;0;0;3604
13/01/2009 1:00;272,7863788;0,791153826;1;0;0;0;0;0;0;3548
13/01/2009 2:00;273,9126704;0,809295768;1;0;0;0;0;0;0;3005
13/01/2009 3:00;273,7317102;0,831009929;1;0;0;0;0;0;0;2981
13/01/2009 4:00;274,106019;0,844208226;1;0;0;0;0;0;0;3321
13/01/2009 5:00;274,2538129;0,841712762;1;0;0;0;0;0;0;3751
13/01/2009 6:00;274,4141551;0,839511079;1;0;0;0;0;0;0;3790
13/01/2009 7:00;272,8256752;0,85502431;1;0;0;0;0;0;0;3817
13/01/2009 8:00;272,2192882;0,882406703;1;0;0;0;0;0;0;3765
13/01/2009 9:00;272,1089819;0,908282475;1;0;0;0;0;0;0;3960
13/01/2009 10:00;272,6198688;0,881382286;1;0;0;0;0;0;0;4270
13/01/2009 11:00;273,2510454;0,81683108;1;0;0;0;0;0;0;4785
13/01/2009 12:00;274,011422;0,767066017;1;0;0;0;0;0;0;4936
13/01/2009 13:00;274,7286162;0,731809907;1;0;0;0;0;0;0;4713
13/01/2009 14:00;275,147585;0,704060954;1;0;0;0;0;0;0;4893
13/01/2009 15:00;275,4457634;0,692619448;1;0;0;0;0;0;0;4575
13/01/2009 16:00;275,6545904;0,701504801;1;0;0;0;0;0;0;4630
13/01/2009 17:00;275,6640113;0,727951795;1;0;0;0;0;0;0;4806
13/01/2009 18:00;276,0830313;0,760958253;1;0;0;0;0;0;0;4281
13/01/2009 19:00;276,9860162;0,785841806;1;0;0;0;0;0;0;4404
13/01/2009 20:00;278,0385502;0,916372305;1;0;0;0;0;0;0;4397
13/01/2009 21:00;279,1131766;0,892778647;1;0;0;0;0;0;0;4485
13/01/2009 22:00;279,7310644;0,874206362;1;0;0;0;0;0;0;4546
13/01/2009 23:00;279,7962219;0,869342531;1;0;0;0;0;0;0;4306
14/01/2009 0:00;279,498667;0,852148678;0;1;0;0;0;0;0;4049
14/01/2009 1:00;279,0085384;0,843295466;0;1;0;0;0;0;0;3570
14/01/2009 2:00;277,7704951;0,829751398;0;1;0;0;0;0;0;3356
14/01/2009 3:00;278,0067314;0,844664394;0;1;0;0;0;0;0;2851
14/01/2009 4:00;277,6791558;0,855093539;0;1;0;0;0;0;0;2590
14/01/2009 5:00;277,561415;0,860429366;0;1;0;0;0;0;0;3014
14/01/2009 6:00;277,3741388;0,864079346;0;1;0;0;0;0;0;3214
14/01/2009 7:00;276,3384529;0,871790249;0;1;0;0;0;0;0;2982
14/01/2009 8:00;276,2531308;0,851653663;0;1;0;0;0;0;0;3282
14/01/2009 9:00;276,2425341;0,834262929;0;1;0;0;0;0;0;3870
14/01/2009 10:00;276,7127872;0,807940134;0;1;0;0;0;0;0;4519
14/01/2009 11:00;277,8602951;0,837815542;0;1;0;0;0;0;0;4757
14/01/2009 12:00;279,0708057;0,796195701;0;1;0;0;0;0;0;4838
14/01/2009 13:00;279,8170903;0,750801872;0;1;0;0;0;0;0;4976
